Episodic Rewards,Episodic Costs,Episode Lengths
0.721153859,0.200000003,52
2.163461577,0.200000003,72
0,0.200000003,51
0.721153859,0.200000003,5
9.375000168,0.200000003,76
4.326923154,0.200000003,62
0,0.200000003,51
2.884615436,0.200000003,10
0,0.200000003,8
0,0.200000003,51
0,0.200000003,51
0,0.200000003,51
0,0.200000003,51
0,0.200000003,51
0,0.200000003,51
3.605769295,0.200000003,12
0,0.200000003,8
0,0.200000003,4
0.721153859,0.200000003,6
0,0.200000003,51
0.721153859,0.200000003,52
0,0.200000003,51
0,0.200000003,51
0,0.200000003,51
0,0.200000003,51
2.163461577,0.200000003,83
15.14423104,0.200000003,33
0,0.200000003,51
0,0.200000003,51
0.721153859,0.200000003,52
